;21070;12593;12666;12974;15338;15339;15849;17294;17296;17456;17474;17498;20403;20497;20499;20500;20509;20525;20550;21148;21266;3206;5651;6315;ZINC100199761;ZINC100232131;ZINC142456176;(E)-Nerolidol;ZINC1676040;ZINC175245225;ZINC1846611;ZINC1849759;ZINC2018831;ZINC2600024;ZINC33841709;ZINC3861087;ZINC4098262;ZINC59206468;ZINC59586886;ZINC59778978;ZINC6071066;ZINC62237753;ZINC64634151;ZINC8220462;ZINC8234296;ZINC968471;
21070;1.0;0.20300751879699247;0.20030349013657056;0.1927710843373494;0.16005291005291006;0.15024630541871922;0.29521276595744683;0.09975267930750206;0.0987551867219917;0.09367296631059983;0.10420650095602295;0.08765315739868049;0.6600790513833992;0.2949640287769784;0.3447368421052632;0.2234513274336283;0.5101449275362319;0.757085020242915;0.7304347826086957;0.91005291005291;0.23367697594501718;0.14855072463768115;0.372960372960373;0.11951219512195121;0.41228070175438597;0.24664879356568364;0.25190839694656486;0.13120567375886524;0.4097222222222222;0.16393442622950818;0.12292358803986711;0.3673469387755102;0.310126582278481;0.07582938388625593;0.17543859649122806;0.14227642276422764;0.4981549815498155;0.2852233676975945;0.0392156862745098;0.3170731707317073;0.061611374407582936;0.26595744680851063;0.16304347826086957;0.15926892950391644;0.14144736842105263;0.04120879120879121;
12593;0.20300751879699247;1.0;0.7630813953488372;0.5770862800565771;0.5390995260663507;0.527027027027027;0.35267857142857145;0.2789512017479971;0.2725947521865889;0.2730573710965868;0.27280064568200163;0.22075910147172734;0.21676300578034682;0.4043795620437956;0.37813884785819796;0.3869132290184922;0.3006896551724138;0.21246458923512748;0.2005856515373353;0.20461538461538462;0.15703703703703703;0.20949263502454993;0.42998585572843;0.30518518518518517;0.11044776119402985;0.2671428571428571;0.19047619047619047;0.15062111801242237;0.2641221374045801;0.27518796992481204;0.19309262166405022;0.28149300155520995;0.28615384615384615;0.0384;0.2580152671755725;0.14123376623376624;0.2837209302325581;0.2042360060514372;0.08702531645569621;0.2084592145015106;0.16310160427807488;0.19295558958652373;0.257396449704142;0.2532561505065123;0.1776416539050536;0.10941828254847645;
12666;0.20030349013657056;0.7630813953488372;1.0;0.7527733755942948;0.6308470290771175;0.6054827175208581;0.3533834586466165;0.27611395178962744;0.26973684210526316;0.26744186046511625;0.27169505271695055;0.2081727062451812;0.21251819505094613;0.4181547619047619;0.3936651583710407;0.37606837606837606;0.2972222222222222;0.2134670487106017;0.1997041420118343;0.19814241486068113;0.16440422322775264;0.21262458471760798;0.4822485207100592;0.3152337858220211;0.11702127659574468;0.27246376811594203;0.2048780487804878;0.16560509554140126;0.2737169517884914;0.25787106446776614;0.20352564102564102;0.29984051036682613;0.29017160686427457;0.03727714748784441;0.26160990712074306;0.14332784184514002;0.28773584905660377;0.20520673813169985;0.0935483870967742;0.21319018404907975;0.15725806451612903;0.20124804992199688;0.2627627627627628;0.2640117994100295;0.18195956454121306;0.10460251046025104;
12974;0.1927710843373494;0.5770862800565771;0.7527733755942948;1.0;0.6812411847672779;0.6521164021164021;0.33444259567387685;0.25018953752843065;0.24638783269961978;0.243202416918429;0.2531969309462916;0.17991967871485945;0.19318181818181818;0.4155629139072848;0.38823529411764707;0.4370860927152318;0.2724505327245053;0.20224719101123595;0.19031719532554256;0.19223985890652556;0.1404399323181049;0.2465483234714004;0.4675324675324675;0.3140916808149406;0.10975609756097561;0.2540192926045016;0.1863468634686347;0.20761904761904762;0.2517361111111111;0.29094076655052264;0.26796116504854367;0.3302411873840445;0.315884476534296;0.036328871892925434;0.3155963302752294;0.16862745098039217;0.2671353251318102;0.19204152249134948;0.12403100775193798;0.19482758620689655;0.13880597014925372;0.20430107526881722;0.29442508710801396;0.28862478777589134;0.21023765996343693;0.1104;
15338;0.16005291005291006;0.5390995260663507;0.6308470290771175;0.6812411847672779;1.0;0.8371794871794872;0.29226736566186107;0.3130372492836676;0.310567936736161;0.30714285714285716;0.29827315541601257;0.2335820895522388;0.1782051282051282;0.36530880420499345;0.33069828722002637;0.3952254641909814;0.275;0.18702290076335878;0.17254901960784313;0.15591397849462366;0.12303664921465969;0.18604651162790697;0.41851368970013036;0.2945945945945946;0.10201342281879194;0.24066924066924067;0.15988779803646563;0.16358463726884778;0.2180349932705249;0.22679045092838196;0.20953757225433525;0.2513888888888889;0.252400548696845;0.03125;0.24619640387275243;0.13372093023255813;0.22628726287262874;0.16555407209612816;0.09770114942528736;0.1677762982689747;0.12470308788598575;0.17582417582417584;0.24596774193548387;0.26238286479250333;0.17012448132780084;0.09476309226932668;
15339;0.15024630541871922;0.527027027027027;0.6054827175208581;0.6521164021164021;0.8371794871794872;1.0;0.27975460122699386;0.32445690259285215;0.32208157524613223;0.3232819074333801;0.3141321044546851;0.24908692476260044;0.17590361445783131;0.35141800246609123;0.322180916976456;0.3793532338308458;0.25524475524475526;0.17437722419928825;0.16199756394640683;0.14625;0.1213235294117647;0.17181208053691274;0.39125151883353587;0.27672955974842767;0.09476309226932668;0.23012048192771084;0.14656290531776914;0.16047745358090185;0.20551378446115287;0.2753246753246753;0.19359145527369825;0.24093264248704663;0.24040920716112532;0.02890932982917214;0.26887417218543047;0.12348993288590604;0.21158690176322417;0.15384615384615385;0.0903054448871182;0.15451174289245984;0.12556053811659193;0.16305732484076432;0.23153942428035043;0.24378109452736318;0.16066838046272494;0.09228971962616822;
15849;0.29521276595744683;0.35267857142857145;0.3533834586466165;0.33444259567387685;0.29226736566186107;0.27975460122699386;1.0;0.1581059390048154;0.1537842190016103;0.152;0.151183970856102;0.12566844919786097;0.2388758782201405;0.5093023255813953;0.4657210401891253;0.4422657952069717;0.45496535796766746;0.26573426573426573;0.2770780856423174;0.30919220055710306;0.23809523809523808;0.24198250728862974;0.488272921108742;0.36538461538461536;0.23142857142857143;0.526595744680851;0.3487654320987654;0.2441860465116279;0.4714285714285714;0.16304347826086957;0.3586626139817629;0.39617486338797814;0.3763157894736842;0.06666666666666667;0.25245098039215685;0.3;0.4507042253521127;0.40816326530612246;0.15789473684210525;0.3954154727793696;0.16041666666666668;0.4338461538461538;0.432;0.4326424870466321;0.3179190751445087;0.12442396313364056;
17294;0.09975267930750206;0.2789512017479971;0.27611395178962744;0.25018953752843065;0.3130372492836676;0.32445690259285215;0.1581059390048154;1.0;0.9322033898305084;0.5318151373074347;0.4803646563814867;0.37818419333768777;0.11688311688311688;0.17888100866824272;0.1633624107850912;0.1872541306058222;0.16025137470542028;0.11916264090177134;0.10440456769983687;0.08933002481389578;0.09038142620232173;0.07972858354537744;0.20327102803738317;0.146677471636953;0.06058091286307054;0.13227091633466134;0.08080808080808081;0.0851063829787234;0.11547911547911548;0.12816326530612246;0.08648194794290512;0.12417218543046357;0.1322314049586777;0.018949181739879414;0.12417218543046357;0.059075342465753425;0.11639344262295082;0.09645507007419621;0.050774526678141134;0.10156895127993394;0.16514522821576763;0.08872305140961857;0.12064777327935222;0.13913751017087062;0.08583333333333333;0.13617021276595745;
17296;0.0987551867219917;0.2725947521865889;0.26973684210526316;0.24638783269961978;0.310567936736161;0.32208157524613223;0.1537842190016103;0.9322033898305084;1.0;0.5220588235294118;0.4806201550387597;0.3761467889908257;0.11419249592169657;0.17842981760507534;0.16188197767145135;0.18310970797158643;0.1606012658227848;0.11560226354082458;0.10163934426229508;0.08916666666666667;0.08931552587646077;0.08041060735671514;0.20109546165884193;0.14413680781758959;0.056666666666666664;0.1297037630104083;0.07874682472480948;0.08583690987124463;0.11367380560131796;0.12736236647493837;0.08537616229923922;0.12333333333333334;0.13050706566916043;0.018229166666666668;0.12333333333333334;0.05775862068965517;0.11551155115511551;0.0945273631840796;0.051215277777777776;0.0987551867219917;0.16263552960800667;0.0885547201336675;0.1198044009779951;0.13654946852003272;0.0865546218487395;0.13247863247863248;
17456;0.09367296631059983;0.2730573710965868;0.26744186046511625;0.243202416918429;0.30714285714285716;0.3232819074333801;0.152;0.5318151373074347;0.5220588235294118;1.0;0.43694614860259035;0.3762246897452645;0.1099434114793856;0.16096423017107309;0.1536643026004728;0.1811764705882353;0.15336463223787167;0.11316211878009631;0.09748172217709179;0.08505367464905036;0.08609271523178808;0.08732876712328767;0.19073359073359072;0.1423948220064725;0.061615320566194835;0.1280827366746221;0.07107023411371237;0.08904109589041095;0.1048780487804878;0.12387938060309699;0.08214585079631181;0.11430921052631579;0.11865793780687398;0.018998272884283247;0.13199665831244778;0.06379310344827586;0.10308441558441558;0.08326530612244898;0.052722558340535866;0.09009009009009009;0.19437340153452684;0.08264462809917356;0.11550888529886914;0.12028869286287089;0.07973421926910298;0.15926892950391644;
